advice_date	observation_id	original_crop_name	advice_text_english
2012-07-12	ap_war_gha_ven_0001_jul12_0_cott_a_2012-07-11	Cotton	this is good 
2012-07-13	ap_war_gha_mad_0001_jul12_1_maiz_a_2012-07-11	Maize	hi
2012-07-14	ap_war_gha_mal_0001_jun12_1_cott_a_2012-07-11	Cotton	apply natural fertilizer
2012-07-30	ap_war_gha_lin_0008_jul12_0_chil_a_2012-07-11	Chilli	Healthy crop, Very low incidence of thrips:
\nFor thrips Apply 80grams of Fipronil granules @ 1 cent nursery area. 
2012-07-30	ap_war_gha_lin_0008_jul12_0_chil_a_2012-07-11	Chilli	Healthy crop, Very low incidence of thrips:For thrips Apply 80grams of Fipronil granules @ 1 cent nursery area
2012-07-30	ap_war_gha_lin_0008_jul12_0_chil_a_2012-07-11	Chilli	Healthy crop, Very low incidence of thrips:For thrips Apply 80grams of Fipronil granules @ 1 cent nursery area
2012-07-30	ap_war_gha_lin_0001_jul12_0_cott_a_2012-07-28	Cotton	Sucking Pest complex: Stem application of imidachlopride 200 SL @ 1:20 at 20,40, 60 DAS
2012-07-30	ap_war_gha_mal_0001_jun12_1_cott_a_2012-07-28	Cotton	Sucking pest:Stem application of imidachlopride 200 SL @ 1:20 at 20,40, 60 DAS
2012-07-30	ap_war_gha_pee_0001_jul12_0_cott_a_2012-07-28	Cotton	Crop is healthy
2012-07-30	ap_war_gha_pee_0001_jul12_0_cott_a_2012-07-28	Cotton	crop is healthy
2012-07-30	ap_war_gha_ven_0001_jul12_0_cott_a_2012-07-28	Cotton	Sucking Pest complex: Stem application of imidachlopride 200 SL @ 1:20 at 20,40, 60 DAS
\ndestroy infected leaves. Spray 4 ml imidachloprid in 10 l water.
2012-07-30	ap_kur_gad_bol_0001_jul12_0_maiz_a_2012-07-19	Maize	Wrong photographs: Not maize photos
2012-07-30	ap_war_gha_lin_0005_jul12_0_maiz_a_2012-07-28	Maize	Stem Borer: Destroy infected plants. Apply Carbofuran 3 %  granules in whorls. 
2012-07-30	ap_war_gha_mal_0005_jul12_1_maiz_a_2012-07-28	Maize	Stem Borer: Destroy infected plants. Apply Carbofuran 3 %  granules in whorls. 
2012-07-30	ap_war_gha_mal_0011_jul12_0_maiz_a_2012-07-28	Maize	Stem borer:: Destroy infected plants. Apply Carbofuran 3 %  granules in whorls.
2012-07-30	ap_war_gha_mal_0014_jul12_0_maiz_a_2012-07-28	Maize	Stem Borer:Destroy infected plants. Apply Carbofuran 3 %  granules in whorls.
2012-07-30	ap_war_gha_mal_0010_jul12_0_rice_a_2012-07-28	Rice	stage: Transplanting, make paths
2012-07-30	ap_war_gha_pee_0001_jul12_1_rice_a_2012-07-28	Rice	Stage of crop: transplanting
2012-07-30	ap_war_gha_lin_0001_jul12_1_rice_a_2012-07-28	Rice	Healthy crop. maintain water level. precautionary for stem borer- spray karatop hydrochloride @ 2g /lit or acephate @ 1.5 g/lit of water. 
2012-08-06	ap_kur_pan_bhu_0002_aug12_3_rice_a_2012-08-03	Rice	Apply carbofuran 3G in nursery @1kg a.i/ha 7 days before transplanting.
2012-08-09	ap_kur_gad_bol_0012_jul12_0_cott_a_2012-08-09	Cotton	Sucking Pest complex:  Spray 4 ml imidachloprid in 10 l water or Acephate @ 1g / l  .
2012-08-10	ap_kur_pan_bal_0007_aug12_9_chil_a_2012-08-10	Chilli	Drench coc @ 3 grams per liter on affected areas. Thinning should be done.Replanting in the gaps.
2012-08-10	ap_kur_pan_bal_0007_aug12_9_chil_a_2012-08-10	Chilli	Drench coc @ 3 grams per liter on affected areas. Thinning should be done.Replanting in the gaps.
2012-08-10	ap_kur_pan_bal_0001_aug12_9_chil_a_2012-08-10	Chilli	Drench coc @ 3 grams per liter on affected areas. Thinning should be done.Replanting in the gaps.
2012-08-10	ap_kur_pan_bal_0006_aug12_9_redg_a_2012-08-10	Redgram	crop is healthy.Farmer can grow short duration inter crops like sorghum,bajra etc
2012-08-10	ap_kur_pan_kow_0001_aug12_9_redg_a_2012-08-10	Redgram	crop is healthy.Farmer can grow short duration inter crops like sorghum,bajra etc
2012-08-10	ap_kur_pan_bal_0005_aug12_9_chil_a_2012-08-10	Chilli	Drench coc @ 3 grams per liter on affected areas. Thinning should be done.Replanting in the gaps.
2012-08-10	ap_war_gha_pee_0001_jul12_1_rice_a_2012-07-11	Rice	Stem borer Dead Heart: Apply Carbofuron granules 10 kgs + 10-15 kg fine sand  / ac
2012-08-10	ap_war_gha_lin_0002_jul12_1_rice_a_2012-07-11	Rice	crop is healthy.weeds observed
2012-08-14	ap_kur_ban_ban_0002_aug12_0_rice_a_2012-08-13	Rice	Make 20cm alleyways at every 2 meters apart to facilitate free aeration and for uniform application of fertilizers, Weedicides and pest management practices.
2012-08-14	ap_kur_ban_ban_0001_aug12_0_rice_a_2012-08-13	Rice	Make 20cm alleyways at every 2 meters apart to facilitate free aeration and for uniform application of fertilizers, Weedicides and pest management practices.
2012-08-14	ap_kur_ban_ban_0003_aug12_0_rice_a_2012-08-13	Rice	Make 20cm alleyways at every 2 meters apart to facilitate free aeration and for uniform application of fertilizers, Weedicides and pest management practices.
2012-08-14	ap_kur_ban_par_0001_aug12_0_cott_a_2012-08-13	Cotton	spray imidachloprid 4 m.l in liter of water.
2012-08-14	ap_kur_ban_par_0003_aug12_0_cott_a_2012-08-13	Cotton	spray imidachlopride 4ml in 10 liter of water.
2012-08-14	ap_kur_ban_par_0004_aug12_0_cott_a_2012-08-13	Cotton	spray imidachloprid 4ml in 10 liters of water.
2012-08-14	ap_kur_mah_gaj_0001_aug12_0_rice_a_2012-08-14	Rice	Healthy crop. maintain water level.
2012-08-14	ap_kur_baa_tan_0003_aug12_8_chil_a_2012-08-14	Chilli	spray 1.5 grams of Acephate or 2ml of fipronil in 1 liter of water.
2012-08-14	ap_kur_baa_tan_0005_aug12_8_chil_a_2012-08-14	Chilli	crop is healthy.
2012-08-14	ap_kur_baa_tan_0005_aug12_8_chil_a_2012-08-14	Chilli	crop is healthy.
2012-08-14	ap_kur_baa_tan_0006_aug12_8_redg_a_2012-08-14	Redgram	crop is healthy.Farmer can grow short duration inter crops like sorghum,bajra etc
2012-08-14	ap_kur_baa_tan_0008_aug12_8_redg_a_2012-08-14	Redgram	crop is healthy.Farmer can grow short duration inter crops like sorghum,bajra etc
2012-08-16	ap_kur_baa_tan_0001_aug12_8_toba_a_2012-08-14	Tobacco	spray Dimethoate 2ml/liter.
2012-08-16	ap_kur_baa_tan_0007_aug12_8_toba_a_2012-08-14	Tobacco	spray dimethoate 2ml/lit for the sucking pest. 
2012-08-16	ap_kur_gad_bol_0013_jul12_0_cott_a_2012-08-14	Cotton	photos uploaded are wrong.
2012-08-16	ap_kur_gad_bol_0014_jul12_0_cott_a_2012-08-14	Cotton	spray 4ml imidachloprid in 10 liters of water.
2012-08-16	ap_kur_gad_bol_0012_jul12_0_cott_a_2012-08-14	Cotton	spray imidachloprid 4ml in 10 liters of water.
2012-08-16	ap_kur_pan_bhu_0004_aug12_9_cott_a_2012-08-15	Cotton	spray imidachloprid 4ml in 10 liters of water.
2012-08-16	ap_kur_pan_bhu_0005_aug12_9_cott_a_2012-08-15	Cotton	spray imidachloprid 4ml in 10 liters of water or stem application with Monocrotophos or imidachloprid.
2012-08-16	ap_kur_pan_kow_0001_aug12_9_cott_a_2012-08-15	Cotton	spray imidachloprid 4ml in 10 liters of water.
2012-08-16	ap_kur_pan_ner_0001_aug12_9_cott_a_2012-08-15	Cotton	spray imidachloprid 4ml in 10 liters of water.
2012-08-16	ap_kur_mah_gaj_0008_aug08_8_grou_a_2012-08-15	Groundnut	crop is healthy.
2012-08-16	ap_kur_gad_bol_0001_jul12_0_maiz_a_2012-08-14	Maize	Crop is healthy.
2012-08-16	ap_kur_gad_bol_0010_jul12_0_maiz_a_2012-08-14	Maize	crop is healthy.
2012-08-16	ap_kur_gad_gad_0001_jul12_0_maiz_a_2012-08-14	Maize	Nitrogen deficiency
2012-08-16	ap_kur_gad_gad_0002_jul12_0_maiz_a_2012-08-14	Maize	crop is healthy
2012-08-17	ap_kur_gad_gad_0005_jul12_0_rice_a_2012-08-16	Rice	spray 2.5ml chlorpyrifos in 1 liter of water.
2012-08-18	ap_kur_gad_bol_0004_jul12_4_cast_a_2012-08-17	Castor	spray neem oil 5ml/lit.
2012-08-18	ap_kur_gad_bol_0005_jul12_5_cast_a_2012-08-17	Castor	spray 5 ml neem oil or 2ml monocrotophos or 2.5 ml chloropyrifos 
2012-08-18	ap_kur_gad_man_0009_jul12_0_cott_a_2012-08-17	Cotton	spray imidachloprid 4ml in 10liters of water.
2012-08-18	ap_kur_gad_bol_0010_jul12_0_maiz_a_2012-08-17	Maize	These are not maize photos
2012-08-18	ap_kur_gad_bol_0007_jul12_7_redg_a_2012-08-17	Redgram	crop is healthy.
2012-08-18	ap_kur_gad_bol_0006_jul12_6_redg_a_2012-08-17	Redgram	crop is healthy.
2012-08-18	ap_kur_mah_gaj_0018_aug12_0_maiz_a_2012-08-18	Maize	borer attack here and there
2012-08-21	ap_kur_mah_mah_0004_aug08_9_maiz_a_2012-08-20	Maize	Remove weeds immediately. 
2012-08-21	ap_kur_mah_mah_0005_aug08_9_rice_a_2012-08-20	Rice	Apply fertilisers if not applied during planting.Apply 70 kg Urea + 200 kg Super phospahte and 50 kg Muriate of potash per acre. Also apply Zinc sulphate @ 20kg /ac 
2012-08-22	ap_kur_gad_gad_0006_jul12_0_chil_a_2012-08-21	Chilli	Thrips and Mites in Nursery: Thrips and mites are identified in nursery. Apply fipronil granules @ 80 grams / cent or Spray phosalone @ 3ml / liter of water  
2012-08-22	ap_kur_gad_gad_0007_jul12_0_chil_a_2012-08-21	Chilli	Thrips and Mites: Apply fipronil granules @ 80 grams / cent if not applied after sowing.  Or Spray Phosalone @ 3ml/ l  
2012-08-22	ap_kur_gad_gad_0011_jul12_0_cott_a_2012-08-21	Cotton	Healthy crop stand, very low incidence of white fly: Spray Triazophose @ 2ml /l if observed more than 6 adult white flies / leaf. Spray Neem oil @ 3 ml / lit to control white flies and early instars  of borers.
2012-08-22	ap_kur_gad_buj_0001_jul12_0_rice_a_2012-08-21	Rice	Just transplanted rice: fertilizer application: urea @ 70 kg + SSP @ 200 kg + mop 50kg  and also jiMk 20 kg per acre. 
2012-08-22	ap_kur_gad_gad_0004_jul12_0_rice_a_2012-08-21	Rice	Stem borer at transplanting stage:clipping of tips must be practiced. Apply cartap hydrochlorid granules  granules @ 8kg / ac
2012-08-22	ap_kur_gad_gad_0005_jul12_0_rice_a_2012-08-21	Rice	inadequate water depth maintenance: maintain thin film of water till tillering stage. Make alleyways at 2 m a part.
2012-08-22	ap_kur_gad_gad_0003_jul12_0_rice_a_2012-08-21	Rice	Just transplanted: Apply Fertilizers if not applied at the time of planting. Urea @ 70kg +SSP @ 200kg + MOP @ 50kg / ac. Znsulphate @ 20 kg /ac.
2012-08-22	ap_kur_gad_buj_0004_jul12_0_rice_a_2012-08-21	Rice	Healthy crop stand : maintain thin film of water to get good no of tillers.
2012-08-22	ap_kur_gad_buj_0002_jul12_0_rice_a_2012-08-21	Rice	second Fertilizer dose  at active tillering stage: Apply urea @70 kg + MOP 50 Kg
2012-08-23	ap_war_gha_lin_0001_jul12_0_cott_a_2012-08-23	Cotton	Sucking Pest (Aphids)and caterpillar: Spray Methyl Demeton @ 20 ml or Imidachloprid @ 4 ml per 10 liters of water.
2012-08-23	ap_war_gha_mad_0001_jul12_0_cott_a_2012-08-23	Cotton	helicoverpa, Aphids and Fertilizer application at 30 DAS: Apply Urea 35kg + MOP 20 kg if not applied basal. Spray quinolphos @ 2 ml /l water against borer.
2012-08-23	ap_war_gha_mal_0006_jul12_0_cott_a_2012-08-23	Cotton	Caterpillar,Aphid(M) and Leafminer (L): Spray neem oil 5 ml / lit to control early instars of larvae and aphids.
2012-08-23	ap_war_gha_mal_0009_jul12_0_cott_a_2012-08-23	Cotton	Sprayed Confidor and fertilizer application: no spray required. apply second dose fertilizers if not applied. 
2012-08-23	ap_war_gha_mal_0007_jul12_0_cott_a_2012-08-22	Cotton	Spodoptera,Aphids: Hand picking of last instar larvae. Check for egg masses under leaves.Spray chloripyriphos @ 2 ml /l of water.
2012-08-23	ap_war_gha_ven_0001_jul12_0_cott_a_2012-08-22	Cotton	Aphids: Spray Methyl demeton @ 2 ml per liter water or imidachloprid @ 4 ml or Acetamiprid @ 1 ml per 10 lit water.
2012-08-23	ap_kur_gad_buj_0005_jul12_0_rice_a_2012-08-22	Rice	Just transplanted: Apply fertilizers if not applied at planting. Apply Urea 70 kg +200 Kg SSP + 50 kg MOP. Znsulphate 20 kg  per acre.
2012-08-23	ap_war_gha_mal_0005_jun12_0_rice_a_2012-08-22	Rice	Tillering stage,Fertilizer recommendation:: Apply urea @ 30kgs + MOP 10kgs / ac. 
2012-08-23	ap_war_gha_lin_0001_jul12_1_rice_a_2012-08-23	Rice	Fertilizer recommendation: Apply urea @ 30 kg + MOP @ 10 kg/ac
2012-08-23	ap_kur_mah_mah_0002_aug08_9_bana_a_2012-08-20	Banana	Fertilizer application: Apply Urea @ 100 graa  + 80 graa MOP per plant.
2012-08-23	ap_kur_pan_pan_0002_aug12_9_cucu_a_2012-08-22	Cucumber	Cercospora leafspot: Spray dicopol@ 3ml+ Mancojeb @ 2.5 ml or carbendizm 1g /l of water. 
2012-08-23	ap_kur_pan_pan_0003_aug12_9_jasm_a_2012-08-22	Jasmine	Leaf blight : Spray carbendizm 1graa or mancozeb 3 ml / liter water 
2012-08-23	ap_kur_pan_pan_0004_aug12_9_rose_a_2012-08-22	Rose	thrips: Remove dried branches and spray Dimethioate @ 2ml / lit of water.
2012-08-23	ap_kur_pan_pan_0001_aug12_9_mang_a_2012-08-22	Mango	Salt injury: Drench the soil with 1 kg gypsum and flood with water. Daily irrigate the fields @12-15 litres of water.Apply FYM @ 15-20 kg+ 50g zinc sulphate in trenches and irrigate.Apply 2kg vermi compost in the trenches.
2012-08-23	ap_kur_mah_mah_0003_aug08_9_turm_a_2012-08-20	Turmeric	shoot borer: Spray Malathion 1 ml / L
2012-08-23	ap_war_gha_pee_0001_jul12_3_maiz_a_2012-08-22	Maize	Stemborer :Apply Endosulphon Granules @ 3 kgs in leaf whorls
2012-08-23	ap_war_gha_lin_0005_jul12_0_maiz_a_2012-08-22	Maize	Stemborer :Apply Endosulphon Granules @ 3 kgs in leaf whorls
\n
\n
2012-08-23	ap_war_gha_mal_0005_jul12_1_maiz_a_2012-08-22	Maize	Stemborer :Apply Endosulphon Granules @ 3 kgs in leaf whorls
2012-08-23	ap_kur_mah_gaj_0006_aug08_8_turm_b_2012-08-14	Turmeric	Leaf blast: Spray Carbendizm + mancojeb combination chemical (ex Saaf) @ 2ml / l water
2012-08-23	ap_war_gha_ven_0001_jul12_1_rice_a_2012-08-22	Rice	Stem borer:  Spray cartap hydrochloride  2g /l water or chlorantriniprole @ 4 ml / 10 l 
2012-08-23	ap_war_gha_mal_0010_jul12_0_rice_a_2012-08-22	Rice	tip drying 
2012-08-23	ap_kur_mah_gaj_0008_aug08_8_grou_a_2012-08-18	Groundnut	thvaraga vachu AAku macha
2012-08-23	ap_war_gha_pee_0001_jul12_1_rice_a_2012-08-22	Rice	tip drying
2012-08-24	ap_kur_baa_tan_0003_aug12_8_grou_a_2012-08-23	Groundnut	Leafspot: Spray mancozeb @ 3g or Chlorothalonil @ 2 g/ l water 
2012-08-24	ap_kur_gad_man_0001_aug12_0_rice_a_2012-08-23	Rice	Transplanting stage:Fertilizer recomendation Apply 200 kg ssp + 70 kg urea + 50 kg MOP + 20 kg Znsulphate. Clipping of leaf tips.Apply carbofuron 10 kg /ac
