Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-10    30.0    22.0    84.0    62.0    7.9    0.0    4.0    3.1
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-12    28.5    23.0    92.0    71.0    8.2    0.0    1.0    2.5
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-04    28.0    21.0    100.0    70.0    6.1    5.6    3.9    2.8
2012-10-09    31.5    18.0    82.0    44.0    1.0    0.0    8.8    3.5
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-18    31.5    15.1    82.0    34.0    2.3    0.0    8.9    5.0
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-27    30.0    16.1    91.0    49.0    1.9    0.0    5.1    3.2
2012-11-28    29.5    14.1    90.0    42.0    1.8    0.0    6.8    3.2
2012-12-11    34.0    13.1    65.0    31.0    1.1    0.0    10.2    3.7
2012-12-16    29.5    12.1    90.0    37.0    2.9    0.0    9.8    3.7
2012-12-18    28.5    11.1    89.0    31.0    3.7    0.0    8.4    3.6
2012-12-24    28.0    12.1    90.0    39.0    3.2    0.0    9.6    3.3
2012-12-26    28.0    12.1    79.0    29.0    2.4    0.0    9.3    3.3
2013-01-07    32.0    21.1    83.0    38.0    2.3    0.0    8.2    3.9
2013-01-17    32.0    16.1    90.0    31.0    2.4    0.0    9.8    3.9
2013-01-30    30.0    17.1    91.0    46.0    2.9    5.0    7.1    3.5
2015-08-21    30.5    22.0    95.0    75.0    2.6    2.0    1.1    3.5
2015-09-01    30.0    23.0    78.0    61.0    4.7    0.0    4.2    5.2
2015-09-04    34.0    24.0    90.0    56.0    1.6    0.0    7.9    6.6
2015-09-05    34.0    24.0    84.0    51.0    1.4    5.4    6.8    5.5
2015-09-07    33.0    24.0    86.0    56.0    1.1    0.0    6.9    5.6
2015-09-08    32.0    22.0    91.0    64.0    1.1    12.2    6.7    5.2
2015-09-11    29.0    21.5    100.0    72.0    0.3    26.2    3.0    1.4
2015-09-12    29.5    21.5    95.0    78.0    0.8    6.0    2.5    2.1
2015-09-14    29.5    22.5    95.0    100.0    1.1    0.0    1.7    3.2
2015-09-18    29.5    23.5    87.0    63.0    2.4    0.0    2.0    2.1
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-22    30.5    22.0    87.0    53.0    0.6    0.0    6.3    4.4
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
2015-09-24    33.0    24.0    84.0    52.0    0.0    0.0    8.9    4.0
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-03    31.5    21.5    97.0    72.0    0.0    0.0    5.6    3.0
2015-10-05    31.5    21.5    97.0    46.0    0.2    2.8    2.5    3.0
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-13    34.0    18.5    91.0    26.0    0.0    0.0    8.7    4.7
2015-10-15    34.0    18.0    91.0    35.0    0.0    0.0    7.4    3.4
2015-10-16    34.0    20.0    100.0    48.0    0.0    0.0    7.5    4.0
2015-10-20    32.5    17.0    91.0    34.0    0.5    0.0    9.4    5.6
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-27    31.5    17.0    91.0    33.0    2.1    0.0    7.6    5.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-03    32.0    21.5    95.0    51.0    0.3    0.0    9.2    3.2
2015-11-04    31.0    19.0    96.0    44.0    1.0    0.0    5.9    3.2
2015-11-09    31.5    14.5    86.0    86.0    3.2    0.0    9.0    5.6
2015-11-10    30.5    17.0    85.0    90.0    3.7    0.0    4.5    4.3
2015-11-12    31.0    15.0    84.0    86.0    4.2    0.0    9.4    6.3
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-16    31.0    19.0    87.0    56.0    1.6    0.0    6.8    3.6
2015-11-19    30.0    19.0    58.0    53.0    3.5    0.0    9.3    5.3
2015-11-20    29.0    19.5    88.0    81.0    3.2    0.8    5.5    3.8
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-11-26    29.5    14.0    89.0    40.0    0.5    0.0    8.9    3.8
2015-12-01    28.5    19.0    91.0    44.0    0.2    0.0    1.0    2.3
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-05    30.5    15.0    90.0    40.0    0.3    0.0    8.6    3.8
2015-12-16    33.0    15.0    90.0    19.0    1.6    0.0    9.5    5.2
