Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-11-02    24.0    21.1    95.0    91.0    7.9    35.0    0.0    1.0
2015-07-14    35.0    25.0    77.0    45.0    6.3    2.0    10.4    8.2
2015-08-24    30.0    24.0    87.0    55.0    3.7    0.0    9.4    6.2
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-16    34.0    20.0    100.0    48.0    0.0    0.0    7.5    4.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-09    31.5    14.5    86.0    86.0    3.2    0.0    9.0    5.6
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-20    29.0    19.5    88.0    81.0    3.2    0.8    5.5    3.8
2015-11-30    30.0    22.5    83.0    62.0    1.9    0.0    9.1    6.0
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-08    29.5    12.5    89.0    28.0    0.5    0.0    6.8    3.6
2015-12-21    32.0    17.0    91.0    41.0    0.6    0.0    7.7    4.0
2015-12-29    30.5    9.5    83.0    19.0    1.0    0.0    10.0    3.8
2015-12-31    32.0    11.0    82.0    27.0    1.0    0.0    10.1    4.2
