Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-08-31    29.0    23.0    77.0    74.0    4.7    0.0    0.0    2.4
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-06    29.0    23.0    87.0    60.0    10.8    0.0    5.0    3.0
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-10    29.5    24.0    84.0    92.0    7.7    0.0    2.2    3.0
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-20    31.5    21.5    97.0    50.0    2.3    9.8    5.0    3.0
2012-10-01    30.5    22.0    93.0    72.0    1.9    5.0    6.1    2.7
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-04    28.0    21.0    100.0    70.0    6.1    5.6    3.9    2.8
2012-10-08    32.0    22.0    84.0    44.0    0.3    0.0    6.8    3.2
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2013-01-23    29.5    14.1    74.0    37.0    3.9    0.0    8.7    3.9
2013-01-24    29.5    15.1    82.0    28.0    4.2    0.0    8.4    3.9
2013-02-09    30.0    19.0    82.0    42.0    7.7    0.0    7.8    3.8
2013-02-13    31.0    16.6    67.0    34.0    3.9    0.0    8.4    4.5
2013-02-19    20.0    15.0    57.0    15.0    5.0    0.0    10.2    4.6
2013-03-02    34.0    19.0    65.0    23.0    3.1    0.0    9.6    5.1
2013-03-21    36.5    20.1    62.0    25.0    2.0    0.0    7.3    5.2
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-09-05    34.0    24.0    84.0    51.0    1.4    5.4    6.8    5.5
2015-09-12    29.5    21.5    95.0    78.0    0.8    6.0    2.5    2.1
2015-09-16    24.0    22.5    95.0    78.0    0.5    28.2    0.2    2.4
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-24    33.0    24.0    84.0    52.0    0.0    0.0    8.9    4.0
2015-09-28    32.5    19.0    91.0    49.0    0.2    0.0    7.8    5.3
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-30    30.0    22.5    83.0    62.0    1.9    0.0    9.1    6.0
