Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-09-22    31.5    23.0    90.0    63.0    1.9    0.2    5.2    3.0
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-09-27    33.0    20.5    97.0    60.0    2.1    13.8    6.1    3.6
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-10-29    30.5    15.1    74.0    39.0    3.2    0.0    8.9    3.8
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-11-22    31.5    21.6    83.0    54.0    3.4    0.0    8.0    3.6
2012-11-30    30.0    15.1    73.0    47.0    6.6    0.0    6.8    3.4
2012-12-07    31.0    15.1    74.0    43.0    2.3    0.0    8.4    3.5
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2013-02-04    31.0    16.1    82.0    19.0    3.1    0.0    9.7    3.6
2013-02-21    31.0    18.1    82.0    38.0    3.4    0.0    8.3    4.8
2013-03-12    36.0    20.0    64.0    26.0    1.8    0.0    6.3    4.9
2013-09-19    29.5    21.1    92.0    85.0    0.3    3.5    3.7    4.4
2013-10-31    30.0    16.1    91.0    51.0    0.0    0.0    7.7    3.6
2015-07-24    32.0    23.5    79.0    47.0    8.7    0.0    0.5    5.0
2015-08-20    34.0    21.5    100.0    72.0    1.6    41.8    8.5    4.0
2015-08-21    30.5    22.0    95.0    75.0    2.6    2.0    1.1    3.5
2015-09-07    33.0    24.0    86.0    56.0    1.1    0.0    6.9    5.6
2015-09-08    32.0    22.0    91.0    64.0    1.1    12.2    6.7    5.2
2015-09-10    29.5    22.0    97.0    100.0    0.2    2.2    2.9    2.2
2015-09-14    29.5    22.5    95.0    100.0    1.1    0.0    1.7    3.2
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-24    33.0    24.0    84.0    52.0    0.0    0.0    8.9    4.0
2015-10-03    31.5    21.5    97.0    72.0    0.0    0.0    5.6    3.0
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-13    34.0    18.5    91.0    26.0    0.0    0.0    8.7    4.7
2015-10-15    34.0    18.0    91.0    35.0    0.0    0.0    7.4    3.4
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-02    32.0    19.5    100.0    44.0    0.6    0.0    7.8    4.0
2015-11-03    32.0    21.5    95.0    51.0    0.3    0.0    9.2    3.2
2015-11-12    31.0    15.0    84.0    86.0    4.2    0.0    9.4    6.3
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-16    31.0    19.0    87.0    56.0    1.6    0.0    6.8    3.6
2015-11-21    25.5    19.5    75.0    53.0    0.5    0.0    0.5    2.8
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-25    30.5    16.5    90.0    46.0    0.0    0.0    7.7    3.3
2015-11-30    30.0    22.5    83.0    62.0    1.9    0.0    9.1    6.0
2015-12-01    28.5    19.0    91.0    44.0    0.2    0.0    1.0    2.3
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-09    30.0    12.5    96.0    35.0    0.3    0.0    8.7    3.6
2015-12-10    28.0    13.0    96.0    34.0    0.2    0.0    3.6    3.0
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
2015-12-15    33.0    17.0    81.0    43.0    1.1    0.0    8.9    4.2
2015-12-16    33.0    15.0    90.0    19.0    1.6    0.0    9.5    5.2
2015-12-21    32.0    17.0    91.0    41.0    0.6    0.0    7.7    4.0
2015-12-23    32.0    15.5    96.0    37.0    0.6    0.0    8.9    4.6
2015-12-24    31.0    17.5    64.0    34.0    0.5    0.0    6.2    2.5
2015-12-26    27.0    9.0    69.0    26.0    1.3    0.0    7.2    4.3
2015-12-29    30.5    9.5    83.0    19.0    1.0    0.0    10.0    3.8
2015-12-30    32.0    9.0    88.0    22.0    0.6    0.0    10.2    4.6
2015-12-31    32.0    11.0    82.0    27.0    1.0    0.0    10.1    4.2
