Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-22    29.0    23.0    79.0    60.0    5.5    0.0    0.2    3.0
2012-08-25    29.5    23.0    95.0    92.0    5.0    0.0    3.3    2.5
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-12-07    31.0    15.1    74.0    43.0    2.3    0.0    8.4    3.5
2013-01-12    29.0    11.1    61.0    16.0    2.6    0.0    9.7    3.7
2015-07-02    34.5    23.5    84.0    72.0    7.2    0.0    9.6    5.8
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-10-15    34.0    18.0    91.0    35.0    0.0    0.0    7.4    3.4
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-20    32.5    17.0    91.0    34.0    0.5    0.0    9.4    5.6
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-02    32.0    19.5    100.0    44.0    0.6    0.0    7.8    4.0
2015-11-03    32.0    21.5    95.0    51.0    0.3    0.0    9.2    3.2
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-29    30.5    9.5    83.0    19.0    1.0    0.0    10.0    3.8
