Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-11-02    24.0    21.1    95.0    91.0    7.9    35.0    0.0    1.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-05    29.5    19.1    91.0    51.0    2.1    0.0    5.4    3.1
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-12-03    29.0    13.1    73.0    46.0    2.6    0.0    9.1    3.3
2012-12-07    31.0    15.1    74.0    43.0    2.3    0.0    8.4    3.5
2012-12-14    32.0    15.1    82.0    31.0    2.4    0.0    9.6    3.6
2012-12-16    29.5    12.1    90.0    37.0    2.9    0.0    9.8    3.7
2012-12-20    29.0    10.0    79.0    39.0    1.8    0.0    9.6    3.6
2012-12-24    28.0    12.1    90.0    39.0    3.2    0.0    9.6    3.3
2013-01-12    29.0    11.1    61.0    16.0    2.6    0.0    9.7    3.7
2013-01-17    32.0    16.1    90.0    31.0    2.4    0.0    9.8    3.9
2013-01-30    30.0    17.1    91.0    46.0    2.9    5.0    7.1    3.5
2013-02-04    31.0    16.1    82.0    19.0    3.1    0.0    9.7    3.6
2013-02-13    31.0    16.6    67.0    34.0    3.9    0.0    8.4    4.5
2015-09-30    31.0    21.5    92.0    66.0    0.5    2.0    5.7    4.3
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-03    31.5    21.5    97.0    72.0    0.0    0.0    5.6    3.0
2015-10-05    31.5    21.5    97.0    46.0    0.2    2.8    2.5    3.0
2015-10-07    32.5    18.0    94.0    35.0    0.3    0.0    8.8    4.1
2015-10-16    34.0    20.0    100.0    48.0    0.0    0.0    7.5    4.0
2015-11-04    31.0    19.0    96.0    44.0    1.0    0.0    5.9    3.2
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-16    31.0    19.0    87.0    56.0    1.6    0.0    6.8    3.6
2015-11-21    25.5    19.5    75.0    53.0    0.5    0.0    0.5    2.8
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-11-25    30.5    16.5    90.0    46.0    0.0    0.0    7.7    3.3
2015-11-26    29.5    14.0    89.0    40.0    0.5    0.0    8.9    3.8
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-05    30.5    15.0    90.0    40.0    0.3    0.0    8.6    3.8
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
2015-12-15    33.0    17.0    81.0    43.0    1.1    0.0    8.9    4.2
2015-12-26    27.0    9.0    69.0    26.0    1.3    0.0    7.2    4.3
