die back	12,9
jassid	1,5,5,7,4,8,9,6,7,11,8,18,14,14,14,2,10,19,15,15,15,4,12,4,12,12,4,12,20,16,16,13,5,13,5,5,5,13,5,5,5,21,17,14,6,26,6,6,6,6,6,18,2,19,15,27,7,7,7,7,8,8,20,20,16,9,21,25,21,9,2,18,23,11,3,19,21,1,2,22,2,23,4,24,4,32,0,17,25,17,34,34,36,8,9,9,10,22,10,34,38,38,6,22,31,31,39,23,35,3
healthy	2,3,4,5,9,6,12,11,4,10,25,3,20,30
mites	4,10,10,6,2,14,2,7,7,11,11,7,16,4,4,8,12,4,4,8,8,12,14,10,11,12,12,16,12,4,12,16,5,14,2,10,24,20,21,14,6,23,8,16,17,26,8,29,10,11,39,7
borer	4,1,5,1,5,10,10,6,2,14,2,7,7,11,11,7,16,4,4,8,12,4,4,8,8,12,14,10,11,11,15,8,8,12,12,16,12,9,13,1,21,13,18,14,2,2,10,22,3,19,15,6,16,12,20,16,16,13,17,17,21,17,14,6,14,15,20,8,20,16,29,9,5,5,21,2,18,18,10,23,19,19,31,19,12,7,7,24,24,12,20,21,33,5,13,14,22,6,14,26,14,23,23,4,8,16,24,36,8,24,24,17,26,2,26,6,2,6,27,27,8,8,8,20,29,29,21,9,9,21,37,33,30,38,10,22,10,10,31,11,11,39,7,42,43,41,41,21
aphid	3,3,4,4,4,4,2,2,2,2,3,7,7,7,4,0,8,8,8,8,4,4,10,10,6,11,3,7,2,6,6,7,3,4,4,8,8,4,12,12,0,4,8,4,5,5,9,5,5,9,5,5,14,0,15,16,22,10,11,1,4,4,6,37,13,31,37,38,51
white fly	16,6,6,17,17
mealy bug	30
sucking pest	4,4,0,1,5,5,7,4,8,9,5,9,5,9,9,10,6,10,6,7,11,16,12,8,9,5,18,14,14,14,2,10,15,19,15,15,15,4,12,12,4,12,4,20,16,13,5,13,5,5,13,5,5,5,21,17,14,14,6,18,6,18,2,19,15,7,7,7,16,8,8,20,20,16,1,9,21,25,21,9,30,10,2,18,23,11,3,3,19,21,5,25,2,13,34,22,6,2,30,22,2,2,23,16,4,8,24,4,16,32,16,0,25,5,5,33,34,38,34,34,18,36,20,8,9,9,30,10,22,10,34,38,34,38,2,6,22,31,31,39,11,23,39,35,3
bacterial	4,5,6,7,8,8,9
thrips	4
