spodoptera	16,17,20,16,21,22,22,18,-267
die back	12,12,21,34,21,9,25,10,3,12,20,20,4,4,24,21,6,6,22,14,6,6,24
jassid	-260,30,28,9,15,8,25,1,10,12,4,4,24,8
grub	7,7,7,7
healthy	1,1,1,2,2,8,5,5,8,12,13,13,13,9,9,16,17,20,20,23,23,5,14,6
mites	7,7,7,7,7,17,20,-279,-263,9,15,8,25,1,10,12,4,4,24,8
borer	4,10,10,6,5,8
aphid	7,21,3,20,20,4,4,4,21,1,6,6,22,14,6,6,24
fungus	9
cercospora	1,1
helicoverpa	5,12,15
sucking pest	13,13
boll worm	1,1,6,4
white fly	4
bacterial	1,1,1,1,5,9,9,9,9,13
choanephora	9,9,9,9,9
thrips	1,1,1,2,7,7,7,7,7,8,8,8,8,8,8,8,8,8,5,5,5,5,5,9,9,9,9,9,9,7,7,7,11,11,11,7,7,7,11,11,7,8,8,8,8,8,8,8,12,12,12,13,13,13,9,9,9,9,11,15,15,16,12,12,13,13,17,17,13,14,14,15,15,20,20,16,21,21,18,22,18,23,23,23,20,-279,-263,-267,-263,-25,-261,-24,-260,-260,-259,-259,-263,30,27,34,58,59,64,-264,1,1,1,1,3,3,3,3,4,4,4,4,2,2,2,2,7,2,3,3,3,3,4,4,4,4,4,0,8,8,8,0,4,4,4,1,5,1,1,5,5,5,1,1,1,13,10,10,2,6,2,6,6,6,15,3,7,3,7,4,4,8,8,8,4,5,5,9,1,9,1,5,6,6,7,7,7,4,8,4,4,16,4,16,16,8,0,8,0,8,1,9,1,1,5,1,13,1,10,9,2,6,2,2,2,10,11,3,11,4,4,4,4,8,4,0,12,8,12,4,12,4,9,13,5,5,9,5,5,5,1,13,5,6,14,14,6,6,6,6,6,10,14,7,3,7,6,15,18,16,8,8,8,12,12,8,4,4,8,16,8,8,16,17,9,9,1,9,9,13,5,9,5,17,1,9,14,6,10,18,10,10,10,14,10,6,10,2,18,10,11,7,11,3,15,8,12,8,20,12,4,12,4,8,12,4,12,12,4,16,21,13,5,9,5,13,1,13,3,5,9,10,14,14,18,22,6,14,6,14,14,2,7,15,15,7,19,19,7,12,24,8,16,16,0,8,21,17,13,25,9,17,1,9,2,2,9,22,18,2,18,18,10,22,26,10,18,2,2,2,10,3,23,32,12,20,12,16,4,20,24,20,4,28,12,4,24,20,24,13,17,5,13,5,21,5,5,26,22,26,22,34,18,2,6,14,27,8,8,16,29,25,9,17,37,41,30,10,26,26,6,34,14,10,19,11,27,7,35,11,37,30,45
