spodoptera	4,4,0,4,3
jassid	4,0,5,6,4,8,12,9,17,21,9,6,7,15,4,8,10,1,24
healthy	5,5,5,2,7,4,9,21,26
die back	4,3,16
borer	3,3,3,3,6,7,3,4,4,4,4,8,8,8,4,0,0,4,6,10,7,9,4,5,5,2,3,30
aphid	4,4,0,4,8,1,9,9,9,9,6,2,10,10,10,10,10,7,12,12,12,16,13,10,14,17,5,5,18,7,2,5,6,18,27,14,14,35,37
cercospora	1,1
sucking pest	1,1,2,4,5,9,5,5,1,1,2,3,7,3,3,4,8,4,4,4,3,7,8,8,8,0,1,1,13,9,1,2,2,2,14,22,11,3,15,16,4,24,12,5,6,19,8,9,21,22,10,12,4,13,14,2,2,1,5,17,17,9,2,18,10,6,2,30,26,26,10,3,7,11,37
bacterial	4,7
choanephora	4,7
thrips	1,1,2,4,5,9,5,5,1,1,1,1,2,7,3,3,4,22,15,16,24,12,4,2,2,1,17,10,6,2,3,7
blb	53
