spodoptera	7,8,12,12,8,4,4,8
grub	7
white fly	7,7,5,1,5,5,5,5,9,9,7,7,7,11,11,15,11,11,8,12,12,12,13,9,9,9,11,11,11,11,10,10,15,16,16,16,12,12,12,12,12,12,12,12,12,16,13,13,17,17,17,13,13,13,17,17,17,14,14,14,14,12,20,20,17,17,1,1,12,17,17,12,21,2,2,7,12,12,12,4
bacterial	5,5,9,7,11,11,3,3,8,8,13,16,21,23,23
jassid	9,7,7,7,11,11,15,11,11,8,12,12,13,9,9,9,9,13,13,11,11,11,11,10,10,15,16,16,16,12,12,12,12,12,12,12,16,13,13,17,17,17,13,13,13,17,17,14,14,14,16,20,20,17,58,58,62,68,10,2,10,17,17,17,7,12,12
tsv virus	9
Boron defi	8,9,7,12,12,17,17,23,23,-267,-267,-266,17,9,19,19
borer	7,7
aphid	7,7,7,7,7,9,11,11,15,11,11,8,8,9,15,16,13,20,-266,58,68,4,4,4,9,10,2,10,5,14,12,12,8,4,4,8,5,9,5,9,17,17,5,17,19,19,19,7,7,15,21,21,4
helicoverpa	7,7,7,5
square burning	11,17,17,23,12,12
thrips	5,5,5,5,5,6,6,6,6,6,6,10,2,10,6,6,6,6,6,6,2,7,3,10,2,11,3,3,3,8,12,12,4,4,4,3,12,12,12,12,4,8,8,4,8,8,8,8,8,12,4,4,4,0,4,8,8,8,1,9,9,9,9,1,1,5,13,13,5,9,1,5,1,1,13,5,5,5,1,5,13,13,13,1,1,5,1,5,1,10,14,10,10,10,10,3,7,10,10,10,2,2,6,2,6,2,6,14,7,11,3,3,3,7,7,7,7,15,11,11,16,16,12,16,16,8,8,16,4,4,8,12,12,12,8,12,12,16,4,4,16,16,16,4,8,5,9,9,17,9,9,13,13,5,9,5,18,10,6,10,10
leafminer	7,7,8,8,8,5,1,51,51
heliothis	8
magnesium defi	7,5,5,10
cercospora	13
fungus	8,8
mealy bug	8,8,15,15,16,13,20,-266,13,13,13
caterpillar	7,7,8
healthy	4,4,7,7,12,8,8,8,8,8,8,9,12,16,49,60,1,1,1,2,4,4,4,4,5,1,5,5,1,9,5,5,7,11,8,12,13,51,4,7,7
boll worm	9,8,12,13,12
sucking pest	4,8,4,5,1,1,1,6,6,2,2,2,2,6,7,7,7,7,8,8,8,8,9,9,9,9,9,7,13,9,13,17,13,13,13,13,13,15,58,58,62,58,3,1,1,1,1,1,2,6,2,3,3,3,7,4,4,4,4,8,5,5,5,1,1,9,5,5,5,10,2,10,3,3,3,8,12,12,4,4,4,3,12,12,12,12,4,8,8,4,8,8,8,8,8,12,4,4,4,0,4,8,8,8,1,9,9,9,9,1,1,5,13,13,5,9,1,5,1,1,13,5,5,5,1,5,13,13,13,1,1,5,1,5,1,10,14,10,10,10,10,3,7,10,10,10,2,2,6,2,6,2,6,14,7,11,3,3,3,7,7,7,7,15,11,11,16,16,12,16,16,8,8,16,4,4,8,12,12,12,8,12,12,16,4,4,16,16,16,4,8,5,9,9,17,9,13,13,13,9,13,13,5,9,5,14,14,18,10,6,10,10,14,14,11,11,7,2,4
