spodoptera	4,4,2,9,11,12
jassid	3,3,8,16,9,17,17,2,14,10,11,8,12,12,4,9,13,1,17,5,1,13,10,6,6,14,26,19,11,11,7,7,11,8,9,1,4,5,29,13,13,5,2,6,6,22,11,3,3,32,29,21,1,9,10,10,14,12,32,8,27,4,8,5,17,26,14,2,26,6,16,21,13,31
healthy	6,0,2,3,4,12,4,9,13,4,8,1,18,20,21,19,43,11,39
Boron defi	15,3,14,16,20,20,22,12
die back	19
borer	1,4,14,20,15,3,7,19,25,21,5,8
aphid	2,4,4,8,0,1,1,4,5,9,11,12,5,18,5,20,9,17,18,23,2,26
sucking pest	4,9,1,1,10,2,4,4,5,8,0,4,8,0,13,17,21,21,1,9,21,17,18,18,10,2,2,2,6,10,18,3,19,3,3,19,19,16,24,16,4,12,4,28,4,4,4,9,13,4,17,5,21,5,5,17,6,30,14,7,26,27,8,0,8,16,8,24,25,21,5,5,9,5,25,13,9,9,9,6,22,26,2,10,2,22,2,10,10,10,18,3,23,28,12,4,12,8,8,12,16,3,24,12,4,0,4,8,24,9,13,13,13,13,1,1,13,5,6,2,2,6,10,10,2,14,18,6,26,6,14,3,7,27,4,4,24,24,32,16,9,25,29,17,37,5,13,13,17,1,9,10,6,26,6,18,22,10,10,31,11,19,19,27,39,35,37,42,34
bacterial	2,4,0,4,4,0,4,4,5,5,5,1,5,6,6,6,7,7,3,7,3,3,4,4,4,8,4,8,4,5,9,5,5,9,1,1,9,9,10,10,6,2,2,3,7,4,4,8,8,8,8,13,1,1,5,13,9,14,10,1,10,6,6,10,7,23,11,8,16,12,0,24,18,14,19,45
thrips	3,4,4,2,2,3,4,4,0,4,4,0,4,4,0,5,5,5,1,1,5,1,2,6,2,6,7,7,3,7,3,3,3,4,4,4,8,8,5,9,5,5,9,1,1,9,9,6,10,6,2,2,3,7,4,4,8,8,8,8,8,13,9,1,1,13,9,1,1,14,10,10,10,6,10,2,6,7,23,11,8,12,4,16,12,12,16,12,0,4,4,24,13,5,13,5,5,13,17,1,5,1,14,18,14,2,2,14,10,15,3,7,3,3,23,16,4,4,12,13,17,16,1,9,21,14,18,10,2,6,10,18,10,3,19,3,3,19,19,19,8,4,13,17,5,21,17,30,14,7,7,26,20,1,6,0,4,24,4,9,13,25,13,13,13,29,14,10,2,14,6,37
