Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-24    30.0    19.1    91.0    47.0    3.1    0.0    7.7    3.3
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-09    29.5    17.1    91.0    56.0    1.0    0.0    4.9    3.0
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-12-11    34.0    13.1    65.0    31.0    1.1    0.0    10.2    3.7
2012-12-20    29.0    10.0    79.0    39.0    1.8    0.0    9.6    3.6
2012-12-23    29.0    11.1    89.0    39.0    1.8    0.0    9.0    3.3
2012-12-28    29.0    10.1    77.0    34.0    1.4    0.0    9.3    3.5
2007-01-09    27.4    12.5    82.0    36.0    3.5    0.0    9.6    4.3
2007-01-10    27.5    12.0    93.0    39.0    3.9    0.0    9.6    3.9
2012-01-15    26.5    14.6    85.0    18.0    2.7    0.0    9.4    2.3
2007-01-15    27.0    13.5    86.0    39.0    3.7    0.0    9.5    4.1
2007-01-21    31.5    13.0    89.0    27.0    1.6    0.0    8.8    4.4
2007-01-19    30.0    13.2    89.0    31.0    4.3    0.0    8.6    3.5
2007-02-09    32.5    16.0    86.0    26.0    3.9    0.0    7.2    4.1
2013-02-21    31.0    18.1    82.0    38.0    3.4    0.0    8.3    4.8
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-29    31.0    22.5    91.0    66.0    2.9    0.0    8.1    4.2
2015-11-08    31.5    19.0    96.0    83.0    1.9    0.0    8.0    4.2
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
