Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-10    30.0    22.0    84.0    62.0    7.9    0.0    4.0    3.1
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-09-23    30.5    22.0    92.0    72.0    3.7    0.0    1.8    3.0
2012-10-01    30.5    22.0    93.0    72.0    1.9    5.0    6.1    2.7
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-07    31.0    22.0    84.0    50.0    0.6    0.0    2.4    3.2
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-17    31.5    15.5    91.0    26.0    2.9    0.0    9.1    4.6
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-03    24.0    20.6    100.0    84.0    1.4    12.0    0.0    1.1
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-09    29.5    17.1    91.0    56.0    1.0    0.0    4.9    3.0
2012-11-13    28.0    12.1    82.0    27.0    2.9    0.0    9.2    3.2
2012-11-27    30.0    16.1    91.0    49.0    1.9    0.0    5.1    3.2
2012-12-11    34.0    13.1    65.0    31.0    1.1    0.0    10.2    3.7
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2012-12-18    28.5    11.1    89.0    31.0    3.7    0.0    8.4    3.6
2012-12-23    29.0    11.1    89.0    39.0    1.8    0.0    9.0    3.3
2007-01-05    28.5    10.5    81.0    29.0    2.4    0.0    9.7    4.7
2007-01-14    28.0    13.5    89.0    41.0    4.3    0.0    9.5    4.0
2012-01-30    29.0    16.1    90.0    36.0    4.2    0.0    8.6    2.2
2015-08-19    32.0    22.5    89.0    52.0    0.6    0.0    2.0    2.8
2015-08-31    28.0    23.0    78.0    60.0    4.0    0.0    2.2    4.9
2015-09-01    30.0    23.0    78.0    61.0    4.7    0.0    4.2    5.2
2015-09-02    31.5    23.0    77.0    56.0    4.8    0.0    9.7    5.7
2015-09-04    34.0    24.0    90.0    56.0    1.6    0.0    7.9    6.6
2015-09-05    34.0    24.0    84.0    51.0    1.4    5.4    6.8    5.5
2015-09-09    34.0    22.5    92.0    84.0    0.6    1.4    5.4    4.4
2015-09-11    29.0    21.5    100.0    72.0    0.3    26.2    3.0    1.4
2015-09-13    29.0    22.0    92.0    72.0    1.9    0.0    1.1    3.4
2015-09-16    24.0    22.5    95.0    78.0    0.5    28.2    0.2    2.4
2015-09-19    31.0    22.0    95.0    66.0    1.3    23.8    5.4    3.0
2015-09-20    31.0    22.5    87.0    69.0    0.8    0.0    5.4    4.0
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-22    30.5    22.0    87.0    53.0    0.6    0.0    6.3    4.4
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-02    31.0    22.0    92.0    61.0    0.2    0.8    5.4    3.0
2015-10-03    31.5    21.5    97.0    72.0    0.0    0.0    5.6    3.0
2015-10-04    32.0    21.5    100.0    67.0    0.2    31.0    5.8    3.8
2015-10-06    31.0    21.0    95.0    40.0    0.2    0.0    8.4    4.2
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-11    33.0    22.0    84.0    49.0    0.5    0.0    8.0    4.5
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-14    34.0    17.0    85.0    33.0    0.0    0.0    8.9    4.7
2015-10-16    34.0    20.0    100.0    48.0    0.0    0.0    7.5    4.0
2015-10-18    31.0    21.0    87.0    50.0    0.6    0.0    6.9    3.5
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-25    32.5    19.5    88.0    50.0    1.8    0.0    9.0    5.2
2015-10-24    33.0    17.5    91.0    45.0    1.6    0.0    9.3    5.2
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-02    32.0    19.5    100.0    44.0    0.6    0.0    7.8    4.0
2015-11-03    32.0    21.5    95.0    51.0    0.3    0.0    9.2    3.2
2015-11-04    31.0    19.0    96.0    44.0    1.0    0.0    5.9    3.2
2015-11-08    31.5    19.0    96.0    83.0    1.9    0.0    8.0    4.2
2015-11-10    30.5    17.0    85.0    90.0    3.7    0.0    4.5    4.3
2015-11-12    31.0    15.0    84.0    86.0    4.2    0.0    9.4    6.3
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-11-25    30.5    16.5    90.0    46.0    0.0    0.0    7.7    3.3
2015-11-30    30.0    22.5    83.0    62.0    1.9    0.0    9.1    6.0
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-15    33.0    17.0    81.0    43.0    1.1    0.0    8.9    4.2
