Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-14    30.5    22.0    79.0    58.0    8.8    0.0    11.1    3.6
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-06    29.0    23.0    87.0    60.0    10.8    0.0    5.0    3.0
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-06    31.0    23.0    90.0    61.0    2.6    0.5    6.4    3.0
2012-10-07    31.0    22.0    84.0    50.0    0.6    0.0    2.4    3.2
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-17    31.5    15.5    91.0    26.0    2.9    0.0    9.1    4.6
2012-10-22    28.5    21.1    91.0    56.0    4.0    0.0    2.1    3.0
2012-10-24    30.0    19.1    91.0    47.0    3.1    0.0    7.7    3.3
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-28    30.0    18.1    90.0    48.0    3.4    0.0    8.7    3.5
2012-10-27    30.5    18.1    87.0    54.0    3.1    0.0    8.1    3.7
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-02    24.0    21.1    95.0    91.0    7.9    35.0    0.0    1.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-07    30.0    18.1    91.0    48.0    0.6    0.0    8.2    3.3
2012-11-06    29.5    17.1    82.0    52.0    1.4    0.0    9.5    3.5
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-20    30.0    15.1    81.0    38.0    1.0    0.0    8.6    3.5
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-27    30.0    16.1    91.0    49.0    1.9    0.0    5.1    3.2
2012-11-30    30.0    15.1    73.0    47.0    6.6    0.0    6.8    3.4
2012-12-10    33.0    13.9    81.0    37.0    1.0    0.0    10.0    3.7
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2012-12-20    29.0    10.0    79.0    39.0    1.8    0.0    9.6    3.6
2007-01-11    27.0    12.2    89.0    29.0    3.7    0.0    9.1    3.0
2007-01-19    30.0    13.2    89.0    31.0    4.3    0.0    8.6    3.5
2007-01-25    29.0    15.5    90.0    46.0    4.5    0.0    9.1    4.5
2007-02-09    32.5    16.0    86.0    26.0    3.9    0.0    7.2    4.1
2013-03-02    34.0    19.0    65.0    23.0    3.1    0.0    9.6    5.1
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
