Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2015-07-13    36.0    25.5    71.0    52.0    7.6    0.0    9.6    7.5
2015-08-23    32.0    24.0    92.0    82.0    3.9    0.0    3.7    6.1
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-29    31.0    22.5    91.0    66.0    2.9    0.0    8.1    4.2
2015-11-08    31.5    19.0    96.0    83.0    1.9    0.0    8.0    4.2
2015-11-12    31.0    15.0    84.0    86.0    4.2    0.0    9.4    6.3
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-19    30.0    19.0    58.0    53.0    3.5    0.0    9.3    5.3
2015-11-28    32.0    16.0    90.0    36.0    0.2    0.0    9.2    3.5
2015-12-01    28.5    19.0    91.0    44.0    0.2    0.0    1.0    2.3
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-08    29.5    12.5    89.0    28.0    0.5    0.0    6.8    3.6
2015-12-19    32.5    15.5    85.0    34.0    0.5    0.0    9.5    3.9
2015-12-29    30.5    9.5    83.0    19.0    1.0    0.0    10.0    3.8
2015-12-30    32.0    9.0    88.0    22.0    0.6    0.0    10.2    4.6
