Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-08-28    29.0    21.5    87.0    72.0    8.4    8.7    3.3    2.5
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-02    30.0    22.0    92.0    71.0    8.5    0.0    6.5    3.0
2012-08-31    29.0    23.0    77.0    74.0    4.7    0.0    0.0    2.4
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-06    29.0    23.0    87.0    60.0    10.8    0.0    5.0    3.0
2012-09-10    29.5    24.0    84.0    92.0    7.7    0.0    2.2    3.0
2012-09-19    30.5    25.0    84.0    61.0    4.7    2.8    5.3    3.0
2012-09-30    31.0    21.5    93.0    72.0    1.0    5.0    4.4    2.7
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-06    31.0    23.0    90.0    61.0    2.6    0.5    6.4    3.0
2012-10-07    31.0    22.0    84.0    50.0    0.6    0.0    2.4    3.2
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-24    30.0    19.1    91.0    47.0    3.1    0.0    7.7    3.3
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-12-02    30.0    16.1    91.0    39.0    2.3    0.0    8.2    3.1
2007-01-21    31.5    13.0    89.0    27.0    1.6    0.0    8.8    4.4
2007-01-19    30.0    13.2    89.0    31.0    4.3    0.0    8.6    3.5
2007-02-09    32.5    16.0    86.0    26.0    3.9    0.0    7.2    4.1
2013-02-19    20.0    15.0    57.0    15.0    5.0    0.0    10.2    4.6
2013-02-28    34.5    19.0    69.0    23.0    1.6    0.0    9.9    5.0
2013-03-18    35.0    17.1    52.0    25.0    4.2    0.0    9.0    5.0
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-09-04    34.0    24.0    90.0    56.0    1.6    0.0    7.9    6.6
2015-09-11    29.0    21.5    100.0    72.0    0.3    26.2    3.0    1.4
2015-09-15    28.0    21.5    97.0    100.0    0.8    29.4    0.3    2.8
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-09    33.0    19.0    91.0    32.0    0.2    0.0    8.5    4.2
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-29    31.0    22.5    91.0    66.0    2.9    0.0    8.1    4.2
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-29    31.0    17.5    86.0    38.0    0.6    0.0    8.9    3.9
