Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2013-03-18    35.0    17.1    52.0    25.0    4.2    0.0    9.0    5.0
2015-07-13    36.0    25.5    71.0    52.0    7.6    0.0    9.6    7.5
2015-08-25    31.0    23.0    84.0    50.0    2.7    0.0    10.4    6.0
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-08-31    28.0    23.0    78.0    60.0    4.0    0.0    2.2    4.9
2015-09-11    29.0    21.5    100.0    72.0    0.3    26.2    3.0    1.4
2015-09-19    31.0    22.0    95.0    66.0    1.3    23.8    5.4    3.0
2015-09-22    30.5    22.0    87.0    53.0    0.6    0.0    6.3    4.4
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-25    32.5    19.5    88.0    50.0    1.8    0.0    9.0    5.2
2015-10-27    31.5    17.0    91.0    33.0    2.1    0.0    7.6    5.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-29    31.0    17.5    86.0    38.0    0.6    0.0    8.9    3.9
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-08    29.5    12.5    89.0    28.0    0.5    0.0    6.8    3.6
2015-12-30    32.0    9.0    88.0    22.0    0.6    0.0    10.2    4.6
