Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-07-11    30.0    24.0    84.0    61.0    4.8    0.0    3.4    2.4
2012-07-28    29.0    25.0    79.0    58.0    11.7    0.0    0.6    3.0
2012-08-10    30.0    22.0    84.0    62.0    7.9    0.0    4.0    3.1
2012-08-14    30.5    22.0    79.0    58.0    8.8    0.0    11.1    3.6
2012-08-15    31.0    22.5    87.0    60.0    9.2    0.0    10.0    3.5
2012-08-17    30.5    24.0    92.0    58.0    6.1    2.0    6.5    3.5
2012-08-21    31.5    23.5    84.0    62.0    9.2    0.0    8.4    3.5
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-01    29.5    22.0    95.0    70.0    7.6    0.0    5.5    2.9
2012-08-31    29.0    23.0    77.0    74.0    4.7    0.0    0.0    2.4
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-06    29.0    23.0    87.0    60.0    10.8    0.0    5.0    3.0
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-10    29.5    24.0    84.0    92.0    7.7    0.0    2.2    3.0
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-09-18    30.0    26.0    92.0    64.0    5.0    0.0    5.9    3.2
2012-09-19    30.5    25.0    84.0    61.0    4.7    2.8    5.3    3.0
2012-09-21    31.5    22.5    92.0    64.0    2.1    0.8    5.7    3.0
2012-09-26    32.0    21.0    84.0    65.0    3.4    0.0    8.2    4.1
2012-09-27    33.0    20.5    97.0    60.0    2.1    13.8    6.1    3.6
2012-09-28    31.5    20.5    92.0    51.0    1.4    15.2    5.0    2.8
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-01    30.5    22.0    93.0    72.0    1.9    5.0    6.1    2.7
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-05    28.2    22.0    90.0    62.0    3.9    0.0    1.9    3.0
2012-10-07    31.0    22.0    84.0    50.0    0.6    0.0    2.4    3.2
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-02    24.0    21.1    95.0    91.0    7.9    35.0    0.0    1.0
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-27    30.0    16.1    91.0    49.0    1.9    0.0    5.1    3.2
2012-11-30    30.0    15.1    73.0    47.0    6.6    0.0    6.8    3.4
2012-12-02    30.0    16.1    91.0    39.0    2.3    0.0    8.2    3.1
2012-12-18    28.5    11.1    89.0    31.0    3.7    0.0    8.4    3.6
2012-12-16    29.5    12.1    90.0    37.0    2.9    0.0    9.8    3.7
2012-12-23    29.0    11.1    89.0    39.0    1.8    0.0    9.0    3.3
2012-12-26    28.0    12.1    79.0    29.0    2.4    0.0    9.3    3.3
2012-12-29    27.0    10.1    56.0    73.0    3.7    0.0    7.7    3.4
2007-01-06    28.0    11.6    84.0    34.0    2.6    0.0    9.8    4.5
2007-01-05    28.5    10.5    81.0    29.0    2.4    0.0    9.7    4.7
2007-01-09    27.4    12.5    82.0    36.0    3.5    0.0    9.6    4.3
2012-01-15    26.5    14.6    85.0    18.0    2.7    0.0    9.4    2.3
2007-01-14    28.0    13.5    89.0    41.0    4.3    0.0    9.5    4.0
2007-01-11    27.0    12.2    89.0    29.0    3.7    0.0    9.1    3.0
2007-01-17    32.0    13.5    83.0    34.0    2.1    0.0    9.7    4.0
2007-01-22    32.0    14.2    83.0    29.0    1.8    0.0    8.5    4.7
2007-01-21    31.5    13.0    89.0    27.0    1.6    0.0    8.8    4.4
2007-01-19    30.0    13.2    89.0    31.0    4.3    0.0    8.6    3.5
2007-01-26    29.0    14.1    89.0    31.0    3.4    0.0    8.0    4.2
2007-01-28    30.5    18.0    82.0    39.0    4.7    0.0    10.0    5.2
2007-01-31    32.5    12.8    85.0    20.0    5.3    0.0    6.2    5.8
2007-02-01    32.0    13.4    89.0    25.0    3.2    0.0    9.3    5.0
2007-02-03    31.5    15.0    80.0    28.0    5.5    0.0    9.5    5.0
2007-02-04    31.5    15.8    90.0    28.0    4.8    0.0    9.9    5.3
2007-02-05    31.5    15.0    85.0    24.0    2.9    0.0    9.6    5.2
2007-02-09    32.5    16.0    86.0    26.0    3.9    0.0    7.2    4.1
2007-02-12    31.5    19.0    91.0    43.0    4.8    0.0    8.6    4.4
2013-02-28    34.5    19.0    69.0    23.0    1.6    0.0    9.9    5.0
2013-07-09    33.5    24.1    84.0    60.0    10.9    0.0    5.4    5.0
2013-08-28    29.5    23.1    95.0    92.0    3.9    0.0    1.0    3.7
2013-09-14    32.5    21.6    87.0    61.0    2.6    0.0    8.8    5.2
2007-01-03    28.0    11.0    89.0    32.0    1.8    0.0    8.1    4.2
2015-06-23    30.0    24.0    84.0    50.0    12.6    0.0    0.0    4.5
2015-06-22    25.0    23.0    77.0    71.0    12.7    6.6    0.0    3.9
2015-07-08    34.5    25.0    73.0    49.0    11.3    0.0    10.0    8.4
2015-07-10    34.0    25.0    77.0    47.0    14.2    0.0    2.3    7.2
2015-07-20    32.5    23.5    84.0    56.0    13.0    0.0    5.5    6.4
2015-07-22    31.5    24.0    84.0    61.0    13.7    0.0    5.5    6.2
2015-07-24    32.0    23.5    79.0    47.0    8.7    0.0    0.5    5.0
2015-07-30    34.0    23.0    81.0    52.0    15.1    0.0    9.5    10.1
2015-07-31    31.0    23.0    77.0    46.0    10.1    0.0    3.9    6.2
2015-08-04    33.0    24.0    77.0    49.0    5.1    0.0    4.8    5.5
2015-08-07    32.0    24.0    84.0    47.0    10.0    0.0    6.6    5.0
2015-08-08    33.0    24.0    84.0    66.0    7.2    8.0    5.0    5.7
2015-08-10    29.0    25.0    92.0    82.0    2.9    0.0    1.0    5.5
2015-08-11    32.5    24.0    92.0    63.0    3.2    0.0    2.3    3.3
2015-08-17    28.0    22.5    92.0    59.0    0.8    6.0    0.0    4.0
2015-08-20    34.0    21.5    100.0    72.0    1.6    41.8    8.5    4.0
2015-08-19    32.0    22.5    89.0    52.0    0.6    0.0    2.0    2.8
2015-08-21    30.5    22.0    95.0    75.0    2.6    2.0    1.1    3.5
2015-08-22    31.0    21.5    92.0    62.0    4.8    5.6    2.9    5.6
2015-08-31    28.0    23.0    78.0    60.0    4.0    0.0    2.2    4.9
2015-09-02    31.5    23.0    77.0    56.0    4.8    0.0    9.7    5.7
2015-09-05    34.0    24.0    84.0    51.0    1.4    5.4    6.8    5.5
2015-09-04    34.0    24.0    90.0    56.0    1.6    0.0    7.9    6.6
2015-09-06    34.0    22.0    92.0    57.0    1.0    11.8    8.1    5.6
