Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-08-27    27.0    21.0    91.0    74.0    16.6    5.0    0.0    2.0
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-21    31.5    22.5    92.0    64.0    2.1    0.8    5.7    3.0
2012-09-23    30.5    22.0    92.0    72.0    3.7    0.0    1.8    3.0
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-22    28.5    21.1    91.0    56.0    4.0    0.0    2.1    3.0
2012-11-03    24.0    20.6    100.0    84.0    1.4    12.0    0.0    1.1
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-20    30.0    15.1    81.0    38.0    1.0    0.0    8.6    3.5
2012-12-02    30.0    16.1    91.0    39.0    2.3    0.0    8.2    3.1
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2012-12-22    29.0    13.1    89.0    56.0    3.1    0.0    9.1    3.3
2012-12-23    29.0    11.1    89.0    39.0    1.8    0.0    9.0    3.3
2007-01-02    28.5    13.2    89.0    38.0    1.8    0.0    8.3    4.0
2007-01-24    32.5    16.5    81.0    39.0    3.5    0.0    9.3    4.4
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-11    33.0    22.0    84.0    49.0    0.5    0.0    8.0    4.5
2015-12-19    32.5    15.5    85.0    34.0    0.5    0.0    9.5    3.9
2015-12-23    32.0    15.5    96.0    37.0    0.6    0.0    8.9    4.6
