Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-09-21    31.5    22.5    92.0    64.0    2.1    0.8    5.7    3.0
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-09-26    32.0    21.0    84.0    65.0    3.4    0.0    8.2    4.1
2012-10-01    30.5    22.0    93.0    72.0    1.9    5.0    6.1    2.7
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-20    30.5    21.1    80.0    70.0    4.0    0.0    8.2    4.0
2012-10-22    28.5    21.1    91.0    56.0    4.0    0.0    2.1    3.0
2012-10-28    30.0    18.1    90.0    48.0    3.4    0.0    8.7    3.5
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-03    24.0    20.6    100.0    84.0    1.4    12.0    0.0    1.1
2012-11-09    29.5    17.1    91.0    56.0    1.0    0.0    4.9    3.0
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-11    28.5    15.1    90.0    45.0    2.3    0.0    8.5    3.0
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-11-20    30.0    15.1    81.0    38.0    1.0    0.0    8.6    3.5
2012-11-30    30.0    15.1    73.0    47.0    6.6    0.0    6.8    3.4
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2012-12-10    33.0    13.9    81.0    37.0    1.0    0.0    10.0    3.7
2007-02-01    32.0    13.4    89.0    25.0    3.2    0.0    9.3    5.0
2013-02-20    31.5    16.5    91.0    38.0    2.1    0.0    9.6    4.6
2013-03-02    34.0    19.0    65.0    23.0    3.1    0.0    9.6    5.1
2013-09-14    32.5    21.6    87.0    61.0    2.6    0.0    8.8    5.2
2013-10-28    29.0    18.1    91.0    55.0    1.6    0.0    8.5    3.5
2015-07-23    31.0    24.5    77.0    56.0    11.4    0.0    2.0    5.0
2015-08-20    34.0    21.5    100.0    72.0    1.6    41.8    8.5    4.0
2015-08-21    30.5    22.0    95.0    75.0    2.6    2.0    1.1    3.5
2015-09-05    34.0    24.0    84.0    51.0    1.4    5.4    6.8    5.5
2015-09-07    33.0    24.0    86.0    56.0    1.1    0.0    6.9    5.6
2015-09-09    34.0    22.5    92.0    84.0    0.6    1.4    5.4    4.4
2015-09-12    29.5    21.5    95.0    78.0    0.8    6.0    2.5    2.1
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
2015-10-02    31.0    22.0    92.0    61.0    0.2    0.8    5.4    3.0
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-14    34.0    17.0    85.0    33.0    0.0    0.0    8.9    4.7
2015-10-24    33.0    17.5    91.0    45.0    1.6    0.0    9.3    5.2
2015-10-25    32.5    19.5    88.0    50.0    1.8    0.0    9.0    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-02    32.0    19.5    100.0    44.0    0.6    0.0    7.8    4.0
2015-11-10    30.5    17.0    85.0    90.0    3.7    0.0    4.5    4.3
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-11-18    29.0    16.5    90.0    46.0    2.9    0.0    5.8    3.5
2015-11-19    30.0    19.0    58.0    53.0    3.5    0.0    9.3    5.3
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-25    30.5    16.5    90.0    46.0    0.0    0.0    7.7    3.3
2015-11-29    31.0    17.5    86.0    38.0    0.6    0.0    8.9    3.9
2015-12-01    28.5    19.0    91.0    44.0    0.2    0.0    1.0    2.3
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-09    30.0    12.5    96.0    35.0    0.3    0.0    8.7    3.6
2015-12-08    29.5    12.5    89.0    28.0    0.5    0.0    6.8    3.6
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
2015-12-10    28.0    13.0    96.0    34.0    0.2    0.0    3.6    3.0
2015-12-16    33.0    15.0    90.0    19.0    1.6    0.0    9.5    5.2
2015-12-19    32.5    15.5    85.0    34.0    0.5    0.0    9.5    3.9
2015-12-20    31.5    17.0    94.0    33.0    1.9    0.0    9.7    3.9
2015-12-23    32.0    15.5    96.0    37.0    0.6    0.0    8.9    4.6
2015-12-24    31.0    17.5    64.0    34.0    0.5    0.0    6.2    2.5
2015-12-28    28.0    8.0    87.0    22.0    0.2    0.0    8.7    3.7
2015-12-29    30.5    9.5    83.0    19.0    1.0    0.0    10.0    3.8
2015-12-30    32.0    9.0    88.0    22.0    0.6    0.0    10.2    4.6
2015-12-31    32.0    11.0    82.0    27.0    1.0    0.0    10.1    4.2
