Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-21    31.5    23.5    84.0    62.0    9.2    0.0    8.4    3.5
2012-08-24    33.0    23.0    87.0    59.0    3.7    10.6    6.9    3.2
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2007-01-10    27.5    12.0    93.0    39.0    3.9    0.0    9.6    3.9
2015-05-28    41.5    29.0    59.0    23.0    8.2    0.0    10.3    9.5
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-10-14    34.0    17.0    85.0    33.0    0.0    0.0    8.9    4.7
2015-10-19    32.5    20.0    91.0    35.0    0.3    0.0    9.0    4.0
2015-10-25    32.5    19.5    88.0    50.0    1.8    0.0    9.0    5.2
2015-10-24    33.0    17.5    91.0    45.0    1.6    0.0    9.3    5.2
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-10-29    31.0    22.5    91.0    66.0    2.9    0.0    8.1    4.2
2015-11-02    32.0    19.5    100.0    44.0    0.6    0.0    7.8    4.0
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-28    28.0    8.0    87.0    22.0    0.2    0.0    8.7    3.7
