Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-22    29.0    23.0    79.0    60.0    5.5    0.0    0.2    3.0
2012-10-22    28.5    21.1    91.0    56.0    4.0    0.0    2.1    3.0
2012-10-24    30.0    19.1    91.0    47.0    3.1    0.0    7.7    3.3
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-02    24.0    21.1    95.0    91.0    7.9    35.0    0.0    1.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-03    24.0    20.6    100.0    84.0    1.4    12.0    0.0    1.1
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-12-02    30.0    16.1    91.0    39.0    2.3    0.0    8.2    3.1
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2012-12-19    29.0    10.1    79.0    31.0    3.7    0.0    9.5    3.6
2012-12-20    29.0    10.0    79.0    39.0    1.8    0.0    9.6    3.6
2012-12-23    29.0    11.1    89.0    39.0    1.8    0.0    9.0    3.3
2007-01-10    27.5    12.0    93.0    39.0    3.9    0.0    9.6    3.9
2012-01-15    26.5    14.6    85.0    18.0    2.7    0.0    9.4    2.3
2012-01-30    29.0    16.1    90.0    36.0    4.2    0.0    8.6    2.2
2007-02-01    32.0    13.4    89.0    25.0    3.2    0.0    9.3    5.0
2007-02-13    31.0    19.0    74.0    36.0    5.1    0.0    7.2    3.5
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
2015-09-30    31.0    21.5    92.0    66.0    0.5    2.0    5.7    4.3
2015-10-01    30.0    22.5    97.0    64.0    0.3    0.0    4.4    2.9
2015-10-02    31.0    22.0    92.0    61.0    0.2    0.8    5.4    3.0
2015-10-04    32.0    21.5    100.0    67.0    0.2    31.0    5.8    3.8
2015-10-06    31.0    21.0    95.0    40.0    0.2    0.0    8.4    4.2
2015-10-14    34.0    17.0    85.0    33.0    0.0    0.0    8.9    4.7
2015-11-04    31.0    19.0    96.0    44.0    1.0    0.0    5.9    3.2
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-11-19    30.0    19.0    58.0    53.0    3.5    0.0    9.3    5.3
2015-11-22    30.0    20.5    83.0    51.0    1.3    0.0    7.7    3.4
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-25    30.5    16.5    90.0    46.0    0.0    0.0    7.7    3.3
2015-12-01    28.5    19.0    91.0    44.0    0.2    0.0    1.0    2.3
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
2015-12-12    32.0    18.5    96.0    41.0    1.0    0.0    5.5    3.7
2015-12-10    28.0    13.0    96.0    34.0    0.2    0.0    3.6    3.0
2015-12-24    31.0    17.5    64.0    34.0    0.5    0.0    6.2    2.5
2007-01-17    32.0    13.5    83.0    34.0    2.1    0.0    9.7    4.0
