Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-17    30.5    24.0    92.0    58.0    6.1    2.0    6.5    3.5
2012-08-21    31.5    23.5    84.0    62.0    9.2    0.0    8.4    3.5
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-09-21    31.5    22.5    92.0    64.0    2.1    0.8    5.7    3.0
2012-09-26    32.0    21.0    84.0    65.0    3.4    0.0    8.2    4.1
2012-10-01    30.5    22.0    93.0    72.0    1.9    5.0    6.1    2.7
2012-10-02    29.0    21.5    100.0    92.0    0.6    14.0    0.0    1.8
2012-10-11    32.0    17.0    80.0    38.0    2.6    0.0    9.4    3.8
2012-10-21    27.5    20.1    91.0    70.0    3.1    13.6    0.0    3.5
2012-10-20    30.5    21.1    80.0    70.0    4.0    0.0    8.2    4.0
2012-10-22    28.5    21.1    91.0    56.0    4.0    0.0    2.1    3.0
2012-10-28    30.0    18.1    90.0    48.0    3.4    0.0    8.7    3.5
2012-10-31    29.0    15.1    77.0    53.0    3.7    0.0    7.5    3.7
2012-11-03    24.0    20.6    100.0    84.0    1.4    12.0    0.0    1.1
2012-11-07    30.0    18.1    91.0    48.0    0.6    0.0    8.2    3.3
2012-11-06    29.5    17.1    82.0    52.0    1.4    0.0    9.5    3.5
2012-11-09    29.5    17.1    91.0    56.0    1.0    0.0    4.9    3.0
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-12    28.5    14.1    81.0    32.0    1.0    0.0    6.8    2.8
2012-11-11    28.5    15.1    90.0    45.0    2.3    0.0    8.5    3.0
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-20    30.0    15.1    81.0    38.0    1.0    0.0    8.6    3.5
2012-12-02    30.0    16.1    91.0    39.0    2.3    0.0    8.2    3.1
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2012-12-11    34.0    13.1    65.0    31.0    1.1    0.0    10.2    3.7
2012-12-10    33.0    13.9    81.0    37.0    1.0    0.0    10.0    3.7
2007-01-02    28.5    13.2    89.0    38.0    1.8    0.0    8.3    4.0
2012-01-15    26.5    14.6    85.0    18.0    2.7    0.0    9.4    2.3
2007-01-15    27.0    13.5    86.0    39.0    3.7    0.0    9.5    4.1
2007-01-22    32.0    14.2    83.0    29.0    1.8    0.0    8.5    4.7
2007-01-24    32.5    16.5    81.0    39.0    3.5    0.0    9.3    4.4
2012-01-30    29.0    16.1    90.0    36.0    4.2    0.0    8.6    2.2
2013-02-21    31.0    18.1    82.0    38.0    3.4    0.0    8.3    4.8
2015-07-08    34.5    25.0    73.0    49.0    11.3    0.0    10.0    8.4
2015-09-09    34.0    22.5    92.0    84.0    0.6    1.4    5.4    4.4
2015-10-04    32.0    21.5    100.0    67.0    0.2    31.0    5.8    3.8
2015-10-06    31.0    21.0    95.0    40.0    0.2    0.0    8.4    4.2
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-13    31.0    13.5    94.0    48.0    2.1    0.0    9.3    3.9
2015-12-02    31.0    21.0    83.0    74.0    0.5    0.0    8.0    3.4
2015-12-09    30.0    12.5    96.0    35.0    0.3    0.0    8.7    3.6
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
