5 layers
funtion		units	train	test	train3	test3
tanh		35	79	61.16	95.34	83.70		
tanh		45	81.3	62.5	96.76	83.03
tanh		55	77.18	58.48	96.08	81.47
tanh		65	82.63	62.94	97.10	82.36
tanh		75	82.97	62.05	97.33	83.03
tanh		85	86.72	64.06	99.03	81.47
tanh		95	77.92	59.82	96.31	82.59
tanh		105	85.41	60.71	98.35	79.01
tanh		115	86.09	61.60	99.09	78.57
tanh		125	83.14	60.71	98.18	79.91

6 layers
tanh		35	80.76	64.73	96.03	83.70
tanh		45	79.96	61.60	96.54	80.80
tanh		55	84.56	61.38	98.18	85.04
tanh		65	81.72	58.70	97.04	79.91
tanh 		75	83.42	64.95	96.65	82.14
tanh 		85	77.81	56.92	96.08	80.13
tanh		95	84.45	61.83	98.92	81.25
tanh		105	83.144	62.05	98.18	81.47
tanh		115	82.97	61.6	98.18	81.47
tanh		125	77.29	60.49	96.02	82.81

relu		35	57.60	51.33	84.79	77.23
relu		45	75.88	61.6	95.46	85.04
relu		55	68.61	55.58	92.73	82.59
relu		65	78.03	62.05	97.39	83.70
relu		75	77.30	59.60	97.33	84.15
relu 		85	79.28	62.5	97.27	85.93
relu		95	75.48	60.71	95.97	84.375
relu		105	70.26	54.24	93.75	81.69
relu		115	84.22	64.73	99.03	85.49
relu		125	78.49	62.05	97.78	85.71

7 layers
relu		35	67.53	55.35	92.50	82.14
relu		45	55.44	48.88	83.03	75.89
relu		55	81.78	64.5	97.95	84.59
relu		65	71.11	58.03	95.06	83.7
relu		75	81.84	60.94	98.18	84.60
relu		85	67.36	51.11	92.96	80.13
relu		95	82.01	64.73	98.13	83.70
relu		105	84.73	61.38	99.26	86.83
relu		115	80.19	63.17	98.18	83.03
relu		125	84.45	60.94	99.32	85.26




