Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-12-11    34.0    13.1    65.0    31.0    1.1    0.0    10.2    3.7
2012-12-20    29.0    10.0    79.0    39.0    1.8    0.0    9.6    3.6
2012-12-24    28.0    12.1    90.0    39.0    3.2    0.0    9.6    3.3
2012-12-31    29.0    20.1    83.0    59.0    4.0    0.0    4.1    3.2
2013-01-09    33.0    21.1    74.0    37.0    4.7    0.0    9.1    4.6
2013-01-14    31.5    11.1    16.0    18.0    1.6    0.0    10.0    3.9
2013-01-17    32.0    16.1    90.0    31.0    2.4    0.0    9.8    3.9
2013-01-23    29.5    14.1    74.0    37.0    3.9    0.0    8.7    3.9
2013-02-12    32.0    16.6    68.0    29.0    3.9    0.0    8.8    4.8
2013-02-25    33.5    20.0    77.0    29.0    4.8    0.0    10.1    4.9
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-27    31.5    17.0    91.0    33.0    2.1    0.0    7.6    5.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-09    31.5    14.5    86.0    86.0    3.2    0.0    9.0    5.6
2015-11-23    30.0    19.5    91.0    45.0    0.5    0.0    6.2    4.2
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-12-14    33.0    19.5    76.0    35.0    0.5    0.0    8.4    3.2
