Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-08-24    33.0    23.0    87.0    59.0    3.7    10.6    6.9    3.2
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-06    31.0    23.0    90.0    61.0    2.6    0.5    6.4    3.0
2012-10-08    32.0    22.0    84.0    44.0    0.3    0.0    6.8    3.2
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-18    31.5    15.1    82.0    34.0    2.3    0.0    8.9    5.0
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-10-30    29.0    15.1    74.0    37.0    3.9    0.0    7.6    3.1
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-05    29.5    19.1    91.0    51.0    2.1    0.0    5.4    3.1
2012-11-08    30.0    18.3    91.0    47.0    1.0    0.0    7.5    3.4
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-21    30.5    16.1    82.0    54.0    1.6    0.0    9.5    3.8
2012-11-28    29.5    14.1    90.0    42.0    1.8    0.0    6.8    3.2
2012-11-30    30.0    15.1    73.0    47.0    6.6    0.0    6.8    3.4
2012-12-14    32.0    15.1    82.0    31.0    2.4    0.0    9.6    3.6
2012-12-16    29.5    12.1    90.0    37.0    2.9    0.0    9.8    3.7
2012-12-21    29.5    10.1    88.0    41.0    2.4    0.0    9.3    3.6
2013-01-20    29.0    15.2    81.0    35.0    2.1    0.0    8.7    3.7
2013-01-24    29.5    15.1    82.0    28.0    4.2    0.0    8.4    3.9
2013-01-29    30.5    17.1    80.0    37.0    4.8    0.0    7.1    3.8
2013-02-12    32.0    16.6    68.0    29.0    3.9    0.0    8.8    4.8
2013-03-12    36.0    20.0    64.0    26.0    1.8    0.0    6.3    4.9
2015-09-24    33.0    24.0    84.0    52.0    0.0    0.0    8.9    4.0
