Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-10-05    28.2    22.0    90.0    62.0    3.9    0.0    1.9    3.0
2012-12-16    29.5    12.1    90.0    37.0    2.9    0.0    9.8    3.7
2013-03-21    36.5    20.1    62.0    25.0    2.0    0.0    7.3    5.2
2015-07-14    35.0    25.0    77.0    45.0    6.3    2.0    10.4    8.2
2015-08-26    32.0    23.0    84.0    56.0    3.7    0.0    10.4    6.2
2015-08-27    32.0    20.0    87.0    66.0    2.1    0.0    8.5    5.7
2015-08-29    29.0    22.0    84.0    66.0    3.5    13.6    1.9    4.7
2015-09-01    30.0    23.0    78.0    61.0    4.7    0.0    4.2    5.2
2015-09-12    29.5    21.5    95.0    78.0    0.8    6.0    2.5    2.1
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-22    30.5    22.0    87.0    53.0    0.6    0.0    6.3    4.4
2015-09-30    31.0    21.5    92.0    66.0    0.5    2.0    5.7    4.3
2015-10-03    31.5    21.5    97.0    72.0    0.0    0.0    5.6    3.0
2015-10-26    32.0    18.5    91.0    47.0    2.1    0.0    8.7    5.2
2015-10-27    31.5    17.0    91.0    33.0    2.1    0.0    7.6    5.0
2015-10-30    31.0    21.5    87.0    52.0    0.8    1.8    5.9    2.5
2015-11-24    30.5    19.0    96.0    48.0    0.8    0.0    9.1    4.2
2015-11-26    29.5    14.0    89.0    40.0    0.5    0.0    8.9    3.8
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-04    31.0    15.0    94.0    34.0    0.3    0.0    9.5    4.0
2015-12-09    30.0    12.5    96.0    35.0    0.3    0.0    8.7    3.6
2015-12-31    32.0    11.0    82.0    27.0    1.0    0.0    10.1    4.2
