Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-08-31    29.0    23.0    77.0    74.0    4.7    0.0    0.0    2.4
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-12    28.5    23.0    92.0    71.0    8.2    0.0    1.0    2.5
2012-09-13    29.0    21.8    91.0    60.0    5.8    10.2    2.5    2.5
2012-09-22    31.5    23.0    90.0    63.0    1.9    0.2    5.2    3.0
2012-09-24    29.4    22.0    77.0    52.0    1.1    0.0    1.4    3.0
2012-10-04    28.0    21.0    100.0    70.0    6.1    5.6    3.9    2.8
2012-10-05    28.2    22.0    90.0    62.0    3.9    0.0    1.9    3.0
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-11-05    29.5    19.1    91.0    51.0    2.1    0.0    5.4    3.1
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-11-15    28.5    11.6    88.0    25.0    2.9    0.0    9.2    3.2
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-21    30.5    16.1    82.0    54.0    1.6    0.0    9.5    3.8
2012-11-22    31.5    21.6    83.0    54.0    3.4    0.0    8.0    3.6
2012-12-03    29.0    13.1    73.0    46.0    2.6    0.0    9.1    3.3
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2012-12-14    32.0    15.1    82.0    31.0    2.4    0.0    9.6    3.6
2012-12-24    28.0    12.1    90.0    39.0    3.2    0.0    9.6    3.3
2013-01-03    33.0    20.1    51.0    41.0    1.6    0.0    8.2    3.6
2013-01-28    30.5    18.1    82.0    38.0    5.0    0.0    7.7    4.0
2015-10-12    33.0    20.5    91.0    31.0    0.0    0.0    4.0    3.8
2015-10-13    34.0    18.5    91.0    26.0    0.0    0.0    8.7    4.7
2015-12-21    32.0    17.0    91.0    41.0    0.6    0.0    7.7    4.0
2015-12-23    32.0    15.5    96.0    37.0    0.6    0.0    8.9    4.6
2015-12-24    31.0    17.5    64.0    34.0    0.5    0.0    6.2    2.5
