Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2012-08-18    31.0    22.0    92.0    59.0    6.6    1.6    7.0    3.0
2012-08-22    29.0    23.0    79.0    60.0    5.5    0.0    0.2    3.0
2012-08-23    31.5    22.5    87.0    56.0    3.4    0.0    6.6    3.5
2012-09-03    31.0    21.5    95.0    92.0    7.6    23.6    5.2    3.0
2012-09-07    30.0    22.0    82.0    60.0    7.6    0.0    9.2    3.2
2012-09-10    29.5    24.0    84.0    92.0    7.7    0.0    2.2    3.0
2012-09-11    27.5    21.0    91.0    74.0    9.2    17.0    0.0    1.3
2012-09-12    28.5    23.0    92.0    71.0    8.2    0.0    1.0    2.5
2012-09-14    30.0    21.5    91.0    62.0    5.6    0.0    8.2    3.2
2012-09-22    31.5    23.0    90.0    63.0    1.9    0.2    5.2    3.0
2012-09-27    33.0    20.5    97.0    60.0    2.1    13.8    6.1    3.6
2012-10-03    26.5    22.0    98.0    77.0    2.7    20.2    0.0    1.8
2012-10-12    31.5    15.0    86.0    31.0    2.1    0.0    9.3    4.0
2012-10-13    32.0    15.0    82.0    43.0    1.1    0.0    9.1    4.1
2012-10-23    29.0    20.6    83.0    57.0    3.4    0.0    7.5    3.2
2012-10-26    31.0    20.1    84.0    54.0    1.9    0.0    8.9    3.5
2012-10-29    30.5    15.1    74.0    39.0    3.2    0.0    8.9    3.8
2012-11-01    29.5    21.1    83.0    91.0    9.5    0.0    5.9    3.0
2012-11-04    26.5    21.3    93.0    58.0    3.9    0.0    1.0    2.9
2012-11-05    29.5    19.1    91.0    51.0    2.1    0.0    5.4    3.1
2012-11-08    30.0    18.3    91.0    47.0    1.0    0.0    7.5    3.4
2012-11-10    26.0    16.1    91.0    41.0    0.3    0.0    0.0    3.0
2012-11-14    28.0    11.1    89.0    30.0    3.4    0.0    8.1    3.1
2012-11-18    27.0    8.1    79.0    25.0    2.1    0.0    9.8    3.2
2012-11-19    28.0    9.1    71.0    48.0    1.6    0.0    9.5    3.3
2012-11-22    31.5    21.6    83.0    54.0    3.4    0.0    8.0    3.6
2012-12-04    29.0    14.6    81.0    46.0    2.4    0.0    9.0    3.1
2012-12-07    31.0    15.1    74.0    43.0    2.3    0.0    8.4    3.5
2012-12-12    32.5    14.1    75.0    28.0    2.4    0.0    10.2    3.6
2013-01-03    33.0    20.1    51.0    41.0    1.6    0.0    8.2    3.6
2013-01-17    32.0    16.1    90.0    31.0    2.4    0.0    9.8    3.9
2013-01-23    29.5    14.1    74.0    37.0    3.9    0.0    8.7    3.9
2013-01-28    30.5    18.1    82.0    38.0    5.0    0.0    7.7    4.0
2013-01-30    30.0    17.1    91.0    46.0    2.9    5.0    7.1    3.5
2013-02-25    33.5    20.0    77.0    29.0    4.8    0.0    10.1    4.9
2015-07-09    33.5    24.5    77.0    52.0    10.3    0.0    4.0    6.4
2015-09-10    29.5    22.0    97.0    100.0    0.2    2.2    2.9    2.2
2015-10-05    31.5    21.5    97.0    46.0    0.2    2.8    2.5    3.0
2015-10-07    32.5    18.0    94.0    35.0    0.3    0.0    8.8    4.1
2015-10-10    34.0    23.0    81.0    50.0    0.0    0.0    8.1    5.2
2015-10-31    31.0    21.0    73.0    52.0    1.9    0.0    6.4    4.2
2015-11-14    32.0    14.5    79.0    49.0    1.8    0.0    8.0    3.8
2015-12-03    26.5    17.0    90.0    37.0    0.2    1.4    0.0    2.6
2015-12-09    30.0    12.5    96.0    35.0    0.3    0.0    8.7    3.6
2015-12-15    33.0    17.0    81.0    43.0    1.1    0.0    8.9    4.2
